1012659,879073461.583
453699,871691139.000
536562,753972716.015
1069119,651473487.307
371101,640844865.869
100823,625870895.524
287779,614498690.215
511081,605147832.536
74816,596637531.836
908295,514204212.706
283817,513402733.344
111523,510318812.944
144145,499614963.244
179470,492440845.823
1068209,464906385.952
340450,407211604.502
1036298,405669363.923
72762,405107258.590
558152,373027435.506
1031110,366866882.500
941376,365140164.167
121699,362705788.583
181009,353371183.912
37198,351705497.000
185617,333609884.837
705394,333423329.000
241322,319394046.519
278881,304642574.416
822475,299823684.033
49682,286304083.351
265976,283185970.493
127549,278648439.500
1038719,268796741.333
578000,267704111.433
746135,263635179.657
466769,263489460.157
399402,238856139.933
189418,237099636.640
890531,236358586.807
656201,235968805.143
848790,232333846.486
73227,231124301.500
547000,230408355.500
492743,230370753.939
761861,230339235.500
765755,230219466.163
62515,229837577.462
885577,228627868.500
749730,228283924.500
1104873,222521399.673
335603,218997129.500
421457,217929970.286
1118451,210578487.257
1027315,201359859.790
1112627,199846876.402
311064,198222002.457
1119550,195953653.056
655592,187274336.933
863585,182121874.368
922926,180531445.500
951576,179895238.500
332555,173366852.052
600010,173149254.052
122838,158971250.810
332620,157920534.610
667713,155389647.581
114165,155205634.109
927345,152523171.091
211690,150621273.609
760386,150245574.000
906871,150050569.000
111357,150039239.000
384432,146284760.531
774709,142111398.631
52334,141544837.265
646714,141544837.265
588765,136898453.333
172420,133439547.644
113887,133036092.333
88974,132434992.094
861380,131081230.327
651993,130646711.721
1155205,129014004.173
425997,128249111.711
1127699,124609255.233
1123208,124301803.000
723478,118231229.024
73998,112873315.560
333877,112405981.345
30274,109667278.798
524786,109129247.677
679744,108182907.420
824086,106769865.000
297894,106752327.772
440088,105553249.600
973783,103319142.743
15528,102383932.241
976650,101715759.167
803395,101201924.167
1097108,100065145.050
